Rank,F,M
1,2537,2649
11,1223,1685
21,895,1347
31,703,984
41,600,845
51,525,755
61,493,682
71,430,620
81,370,554
91,345,509
101,328,442
111,307,376
121,279,354
131,252,337
141,226,313
151,218,293
161,209,270
171,195,235
181,192,222
191,187,207
201,180,196
211,175,187
221,164,181
231,162,163
241,158,155
251,150,148
261,145,143
271,139,135
281,131,131
291,127,127
301,122,124
311,117,117
321,115,113
331,112,108
341,109,103
351,105,101
361,102,95
371,98,92
381,92,89
391,91,86
401,87,81
411,85,79
421,82,74
431,79,72
441,77,68
451,74,65
461,71,62
471,68,61
481,66,58
491,64,56
501,62,54
511,60,51
521,59,50
531,57,48
541,55,46
551,53,45
561,52,43
571,50,41
581,48,39
591,46,37
601,44,36
611,42,35
621,40,34
631,39,32
641,38,31
651,37,29
661,36,28
671,35,27
681,34,26
691,33,24
701,32,23
711,31,22
721,30,21
731,29,20
741,28,19
751,27,18
761,26,18
771,25,17
781,25,17
791,24,16
801,23,15
811,23,14
821,22,14
831,22,13
841,21,12
851,20,12
861,20,11
871,19,11
881,18,11
891,18,11
901,17,10
911,16,10
921,16,10
931,15,10
941,15,8
951,14,7
961,14,7
971,13,6
981,13,6
991,12,6
1001,12,6
1011,12,6
1021,11,6
1031,11,5
1041,11,5
1051,11,5
1061,11,5
1071,10,5
1081,10,5
1091,10,5
1101,8,5
1111,8,5
1121,7,5
1131,7,5
1141,7,5
1151,6,5
1161,6,5
1171,6,5
1181,6,5
1191,6,5
1201,6,5
1211,6,5
1221,6,0
1231,5,0
1241,5,0
1251,5,0
1261,5,0
1271,5,0
1281,5,0
1291,5,0
1301,5,0
1311,5,0
1321,5,0
1331,5,0
1341,5,0
1351,5,0
1361,5,0
1371,5,0
1381,5,0
1391,5,0
1401,5,0
1411,5,0
1421,5,0
1431,5,0
