Length,Proportion
1,0.01417475809107699
2,0.02978552108680557
3,0.05848245781040752
4,0.07898026975583747
5,0.0840294482915479
6,0.09153373198682396
7,0.11467194004725846
8,0.13730059798023594
9,0.16312552489453472
10,0.20101752528179279
11,0.24715497318608262
12,0.31068660953220056
13,0.3602056173732506
14,0.4222317647064273
15,0.49354562118097967
16,0.5525144677494144
17,0.6243378743514237
18,0.6906488750291254
19,0.7651590004849991
20,0.8395301577242935
21,0.8648455345111353
22,0.8960438991331625
23,0.9493382101912804
24,1.002539875771679
25,1.0256549224626836
26,1.0685729400162223
27,1.0721861136472812
28,1.0952085148605664
29,1.115544197219987
30,1.1249940359473718
31,1.1163085224111726
32,1.1337490335918605
33,1.1305296032411094
34,1.1392151167773086
35,1.1593191854424307
36,1.149035537415571
37,1.1369453025731817
38,1.137107432159191
39,1.1413691241342858
40,1.1342354223498876
41,1.1317108330820325
42,1.1335637426364216
43,1.1242528721256162
44,1.1188794344178876
45,1.1118847008500685
46,1.1050520968682587
47,1.1079009453081319
48,1.077652196832729
49,1.0825624071518603
50,1.0632226636779234
51,1.0503912650137786
52,1.034965792973489
53,1.0295460325269008
54,1.0102294504223939
55,1.0026325212493983
56,0.9922330663753892
57,0.9751631371055792
58,0.9716889316910995
59,0.956078168695371
60,0.9430383177063575
61,0.9245787062707554
62,0.9183251365246922
63,0.9333800266541039
64,0.888470131329597
65,0.8824713366472621
66,0.8704737472825923
67,0.8514351016112438
68,0.8437223655910989
69,0.8338324608445469
70,0.8221822920213251
71,0.8168320156830265
72,0.8017076414453251
73,0.7936938076225919
74,0.7843597757423566
75,0.7623564747839855
76,0.7629123476503022
77,0.7479501029986099
78,0.735651415831352
79,0.7170528361791708
80,0.7130690806372342
81,0.7020442687886187
82,0.6888191268441661
83,0.6685297672236049
84,0.6636890410127633
85,0.6561615959480573
86,0.6489120873165098
87,0.629085955084546
88,0.6230408376633513
89,0.6210952826312428
90,0.6086344658779757
91,0.5902211771812336
92,0.588599881321143
93,0.5708351109684371
94,0.5647436708083827
95,0.5676388419871158
96,0.5505920740867356
97,0.5416749468562378
98,0.5379459663780297
99,0.5241186288284007
100,0.5498277488955501
101,0.529862648447007
102,0.5242807584144097
103,0.5128390419160568
104,0.5079056702274957
105,0.4804362860836765
106,0.4780738264018303
107,0.4688092786298846
108,0.46061015385171256
109,0.45201728579323286
110,0.4485199190093234
111,0.4484272735316039
112,0.43770355948557677
113,0.4325848968415767
114,0.433048124230174
115,0.4231582194836219
116,0.41708994069299743
117,0.41975349817743185
118,0.42385306056651784
119,0.44001969642856315
120,0.42860114129964
121,0.45407864767249084
122,0.41961452996085263
123,0.48363255506499775
124,0.4893302519447444
125,0.4661920438843099
126,0.42667874763696134
127,0.4698747016236583
128,0.4643159729604909
129,0.4851148827085091
130,0.47392794127388455
131,0.4830535208292511
132,0.5059137924565272
133,0.5404705556458849
134,0.5941122872454508
135,0.6416857400543922
136,0.703364466846121
137,0.8056219128789722
138,1.0293839029408918
139,1.3030123213853093
140,2.197828667938689
