Year,Share
1915,0.7201889020070839
1916,0.7463699280770796
1917,0.6969652969362568
1918,0.8347978910369069
1919,0.0
1920,0.0
1921,0.6086866811100794
1922,0.0
1923,0.6450856204550786
1924,0.8291873963515755
1925,0.0
1926,0.4676819762561458
1927,0.0
1928,0.43971302939134455
1929,0.0
1930,0.0
1931,0.4428485936564931
1932,0.4557772850455778
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.4636068613815485
1942,0.2723682418629988
1943,0.3348757915245981
1944,0.4964281389998789
1945,0.35733753255405487
1946,1.0042310241117398
1947,1.2000510660028088
1948,1.3043102703636522
1949,1.460364474063104
1950,1.5664497948696696
1951,1.344
1952,1.6240772288472458
1953,1.9483734087694482
1954,1.968503937007874
1955,2.1565653234847986
1956,2.7708901562112573
1957,2.827337711396525
1958,3.6276484102447744
1959,3.213913826583739
1960,2.554938150950772
1961,3.4696731340674707
1962,2.8045625587958605
1963,3.5591895629170924
1964,2.4881591411430377
1965,2.859574468085106
1966,2.714113389626055
1967,2.0443884338024225
1968,2.2370824859536036
1969,2.9540301646239278
1970,1.5329813625087463
1971,1.6114745162169528
1972,2.2447851913247687
1973,1.7240168539325842
1974,1.713427537715885
1975,1.5951539626451288
1976,2.106377167827393
1977,1.9275739961248077
1978,1.8504568827170602
1979,2.0003145148608272
1980,2.0656063020535793
1981,2.433923903572466
1982,1.9659166852305634
1983,1.7694459059064602
1984,1.892923876838086
1985,2.0823473734027447
1986,1.6791742143247361
1987,2.418767302928748
1988,1.7113519680547633
1989,3.7997705587733286
1990,3.2765223019254623
1991,3.642997168372904
1992,3.7024972855591747
1993,4.370236332730164
1994,4.994556341861731
1995,5.060454306504717
1996,4.321619470032981
1997,4.504236658242902
1998,4.884159732747688
1999,5.186960690316395
2000,3.8930737950803276
2001,5.042608870697175
2002,3.705344968639215
2003,4.710021176309858
2004,3.6958091243510847
2005,3.5020780813517747
2006,3.2341483073616333
2007,3.48281064423972
2008,4.757826624797793
2009,3.954802259887006
2010,2.7445189869354474
2011,2.6689362795477902
2012,4.4361698712804545
2013,3.022296687717489
2014,4.076761204811709
