Name,F,M,Pct_M
ADDISON,578,6,1.0273972602739725
AIDAN,12,642,98.1651376146789
AIKAM,33,101,75.3731343283582
ALEX,10,356,97.26775956284153
ALI,19,132,87.41721854304636
AMRIT,40,27,40.298507462686565
ANMOL,22,6,21.428571428571427
ARYA,139,7,4.794520547945205
AUGUST,6,93,93.93939393939394
AUSTYN,13,6,31.57894736842105
AVERY,1019,233,18.610223642172524
BAILEY,211,11,4.954954954954955
BLAKE,63,620,90.77598828696925
CAMERON,48,677,93.37931034482759
CASEY,59,128,68.44919786096256
CEDAR,11,38,77.55102040816327
CHARLIE,209,368,63.77816291161178
DAKOTA,123,79,39.10891089108911
DAYA,17,6,26.08695652173913
DEVON,26,164,86.31578947368422
DREW,23,89,79.46428571428571
DYLAN,60,1064,94.66192170818505
EDEN,252,17,6.319702602230483
EKAM,26,62,70.45454545454545
ELLIOT,22,276,92.61744966442953
ELLIOTT,26,205,88.74458874458875
EMERSON,111,145,56.640625
EMERY,98,37,27.40740740740741
FINLEY,54,193,78.13765182186235
GURNOOR,117,30,20.408163265306122
HARLEY,16,62,79.48717948717949
HAYDEN,161,720,81.72531214528944
HUNTER,58,1073,94.87179487179486
JADEN,13,360,96.51474530831099
JAIDEN,14,125,89.92805755395683
JAMIE,114,110,49.107142857142854
JASKIRAT,6,6,50.0
JAYDEN,97,1347,93.2825484764543
JESSE,13,452,97.20430107526882
JIA,60,15,20.0
JOEY,11,68,86.07594936708861
JORDAN,170,755,81.62162162162161
JUSTICE,26,53,67.08860759493672
KAYDEN,12,509,97.69673704414588
KIRAT,12,6,33.33333333333333
LEIGHTON,21,23,52.27272727272727
LENNON,30,31,50.81967213114754
LOGAN,44,1971,97.81637717121589
LONDON,163,54,24.88479262672811
LUCA,15,435,96.66666666666667
LYNDEN,11,63,85.13513513513513
LYRIC,29,11,27.500000000000004
MACKENZIE,700,58,7.651715039577836
MARLEY,162,10,5.813953488372093
MEHAR,23,19,45.23809523809524
MICAH,36,349,90.64935064935065
MORGAN,359,149,29.330708661417322
OAKLEY,16,72,81.81818181818183
PARKER,101,642,86.40646029609691
PAYTON,385,60,13.48314606741573
PEYTON,505,127,20.094936708860757
PHOENIX,113,176,60.89965397923876
QUINN,324,313,49.13657770800628
RAINE,12,11,47.82608695652174
REESE,194,22,10.185185185185185
RHYS,12,328,96.47058823529412
RILEY,299,835,73.6331569664903
RIVER,91,168,64.86486486486487
ROBIN,12,53,81.53846153846153
RORY,20,130,86.66666666666667
ROWAN,198,363,64.70588235294117
RYAN,45,1590,97.24770642201835
RYDER,7,984,99.2936427850656
RYLAN,27,565,95.4391891891892
RYLEE,231,6,2.5316455696202533
RYLEY,17,38,69.0909090909091
SAGE,163,36,18.090452261306535
SASHA,188,23,10.90047393364929
SAWYER,73,406,84.75991649269311
SEHAJ,33,41,55.4054054054054
SIDNEY,51,20,28.169014084507044
SKY,6,6,50.0
SKYE,107,14,11.570247933884298
SKYLAR,169,35,17.15686274509804
SKYLER,57,116,67.05202312138728
SUKHMAN,25,47,65.27777777777779
SYDNEY,555,11,1.9434628975265018
TATUM,51,22,30.136986301369863
TAYLOR,744,230,23.613963039014372
TEAGAN,225,50,18.181818181818183
TEGAN,92,6,6.122448979591836
TYLER,21,927,97.78481012658227
ZI,7,6,46.15384615384615
